top - 16:55:14 up  2:41,  1 user,  load average: 0.80, 0.56, 0.42
Tasks: 400 total,   1 running, 399 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.6 us,  0.7 sy,  0.0 ni, 96.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  39858.0 total,  28563.6 free,   4941.3 used,   6353.0 buff/cache
MiB Swap:  15259.0 total,  15259.0 free,      0.0 used.  31980.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1567 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1634 mark      20   0  249280   7976   7292 S   0.0   0.0   0:00.00 gnome-keyring-d
   1644 mark      20   0  231680  15804  14056 S   0.0   0.0   0:00.02 gnome-session-b
   1702 mark      20   0  309752   8388   7616 S   0.0   0.0   0:00.00 at-spi-bus-laun
   1712 mark      20   0    8560   4572   4088 S   0.0   0.0   0:00.19 dbus-daemon
   1720 mark      20   0  162748   7936   7124 S   0.0   0.0   0:00.71 at-spi2-registr
   1741 mark      20   0  504160  34592  24684 S   0.0   0.1   0:02.78 fcitx
   1749 mark      20   0    8560   3276   2888 S   0.0   0.0   0:01.07 dbus-daemon
   1754 mark      39  19    6576    232      0 S   0.0   0.0   0:00.00 fcitx-dbus-watc
   1783 mark      20   0  100556   5156   4724 S   0.0   0.0   0:00.00 gnome-session-c
   1804 mark      20   0  527932  17756  14780 S   0.0   0.0   0:00.08 gnome-session-b
   1823 mark      20   0 6803492 318744 135820 S   0.0   0.8   2:25.45 gnome-shell
   1875 mark      20   0   76460  11948  10196 S   0.0   0.0   0:00.03 snapd-desktop-i
   1976 mark      20   0  309408  26060  18040 S   0.0   0.1   0:00.10 snapd-desktop-i
   2000 mark      20   0  484980  14412  12056 S   0.0   0.0   0:00.28 xdg-desktop-por
   2015 mark      20   0 1692252  96212  72332 S   0.0   0.2   0:01.15 xdg-desktop-por
   2019 mark      20   0  428956  36584  27264 S   0.0   0.1   0:02.98 sogoupinyin-wat
   2055 mark      20   0  796236  21536  18504 S   0.0   0.1   0:00.09 gnome-shell-cal
   2064 mark      20   0 1084728  34156  25896 S   0.0   0.1   0:00.11 evolution-sourc
   2069 geoclue   20   0  723744  27960  14764 S   0.0   0.1   0:02.50 geoclue
   2074 mark      20   0  352032  27112  18808 S   0.0   0.1   0:00.31 xdg-desktop-por
   2076 mark      20   0  157092   6160   5372 S   0.0   0.0   0:00.00 dconf-service
   2084 mark      20   0  171760   6708   6064 S   0.0   0.0   0:00.00 gvfsd-metadata
   2085 root      20   0  306856  20808  17908 S   0.0   0.1   0:00.06 packagekitd
   2097 mark      20   0 1352496  54756  34268 S   0.0   0.1   0:00.63 evolution-calen
   2108 mark      20   0  323912   9160   7572 S   0.0   0.0   0:00.04 gvfsd-trash
   2126 mark      20   0  680888  29168  25536 S   0.0   0.1   0:00.02 evolution-addre
   2143 mark      20   0 2939944  28368  22916 S   0.0   0.1   0:00.04 gjs
   2166 mark      20   0 2882500  28412  22956 S   0.0   0.1   0:00.07 gjs
   2167 mark      20   0    2888    968    868 S   0.0   0.0   0:00.00 sh
   2168 mark      20   0  319084   6916   6336 S   0.0   0.0   0:00.00 gsd-a11y-settin
   2170 mark      20   0  397452  12160   7136 S   0.0   0.0   0:00.11 ibus-daemon
   2171 mark      20   0  557308  29724  21748 S   0.0   0.1   0:00.15 gsd-color
   2172 mark      20   0  384120  16288  14292 S   0.0   0.0   0:00.01 gsd-datetime
   2174 mark      20   0  320756   7552   6688 S   0.0   0.0   0:00.27 gsd-housekeepin
   2176 mark      20   0  350112  24700  17520 S   0.0   0.1   0:00.11 gsd-keyboard
   2177 mark      20   0  873848  30052  21928 S   0.0   0.1   0:00.17 gsd-media-keys
   2179 mark      20   0  460100  27940  20228 S   0.0   0.1   0:00.17 gsd-power
   2182 mark      20   0  258500  11616  10168 S   0.0   0.0   0:00.00 gsd-print-notif
   2184 mark      20   0  466500   6944   6220 S   0.0   0.0   0:00.01 gsd-rfkill
   2187 mark      20   0  244936   5236   4796 S   0.0   0.0   0:00.01 gsd-screensaver
   2190 mark      20   0  474600  10204   8808 S   0.0   0.0   0:01.14 gsd-sharing
   2192 mark      20   0  320964   8128   7252 S   0.0   0.0   0:00.00 gsd-smartcard
   2194 mark      20   0  328004   9444   8400 S   0.0   0.0   0:00.01 gsd-sound
   2195 mark      20   0  350456  25036  17420 S   0.0   0.1   0:00.11 gsd-wacom
   2200 mark      20   0  352240  27264  19024 S   0.0   0.1   0:00.14 gsd-xsettings
   2240 mark      20   0  887816  68016  51816 S   0.0   0.2   0:00.19 evolution-alarm
   2256 mark      20   0  232268   6888   5496 S   0.0   0.0   0:00.00 gsd-disk-utilit
   2280 mark      20   0  172140   7404   6792 S   0.0   0.0   0:00.00 ibus-memconf
   2288 mark      20   0  281264  29076  17604 S   0.0   0.1   0:00.62 ibus-extension-
   2293 mark      20   0  202860  24944  17776 S   0.0   0.1   0:00.11 ibus-x11
   2302 mark      20   0  245916   7492   6872 S   0.0   0.0   0:00.02 ibus-portal
   2321 colord    20   0  254092  13540   9848 S   0.0   0.0   0:00.07 colord
   2377 mark      20   0  172132   7320   6704 S   0.0   0.0   0:00.02 ibus-engine-sim
   2385 mark      20   0  351004  13920  12116 S   0.0   0.0   0:00.01 gsd-printer
   2502 mark      20   0 2293780 240392 121412 S   0.0   0.6   0:12.99 sogoupinyin-ser
   2532 root      20   0  172612  11364   9944 S   0.0   0.0   0:00.00 cups-browsed
   2538 kernoops  20   0   13080    456      0 S   0.0   0.0   0:00.00 kerneloops
   2545 kernoops  20   0   13080    456      0 S   0.0   0.0   0:00.00 kerneloops
   2602 root      20   0       0      0      0 I   0.0   0.0   0:00.67 kworker/3:3-events
   2609 mark      20   0  501492  34000  25600 S   0.0   0.1   0:00.30 update-notifier
   2622 root      20   0       0      0      0 I   0.0   0.0   0:00.87 kworker/0:5-events
   2790 mark      20   0   20.5g 162548 118116 S   0.0   0.4   0:21.96 dida
   2798 mark      20   0   16.2g  46944  38764 S   0.0   0.1   0:00.00 dida
   2799 mark      20   0   16.2g  47472  39284 S   0.0   0.1   0:00.00 dida
   2801 mark      20   0   16.2g  10000   1780 S   0.0   0.0   0:00.00 dida
   2808 mark      20   0 1122.0g 149108 115000 S   0.0   0.4   0:07.64 code
   2816 mark      20   0   32.2g  45844  38136 S   0.0   0.1   0:00.00 code
   2817 mark      20   0   32.2g  44636  37052 S   0.0   0.1   0:00.00 code
   2822 mark      20   0   17164   1012    920 S   0.0   0.0   0:00.00 cat
   2823 mark      20   0   17164   1012    920 S   0.0   0.0   0:00.00 cat
   2825 mark      20   0   32.2g  11508   3760 S   0.0   0.0   0:00.00 code
   2838 mark      20   0   32.0g   3772   3484 S   0.0   0.0   0:00.00 msedge_crashpad
