Linux 5.19.0-43-generic (lsl-PC) 	06/10/2023 	_x86_64_	(16 CPU)

12:39:07 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:21 AM       0      1.00      0.00      2.00      0.00      0.00     97.00
12:39:21 AM       1      1.00      0.00      0.00      0.00      0.00     99.00
12:39:21 AM       2      6.06      0.00      0.00      0.00      0.00     93.94
12:39:21 AM       3      0.00      0.00      0.99      0.00      0.00     99.01
12:39:21 AM       4     14.71      0.00      0.00      0.00      0.00     85.29
12:39:21 AM       5      1.00      0.00      1.00      0.00      0.00     98.00
12:39:21 AM       6      3.00      0.00      1.00      0.00      0.00     96.00
12:39:21 AM       7      2.02      0.00      2.02      0.00      0.00     95.96
12:39:21 AM       8      2.00      0.00      1.00      0.00      0.00     97.00
12:39:21 AM       9      0.00      0.00      2.00      0.00      0.00     98.00
12:39:21 AM      10      2.97      0.00      0.99      0.00      0.00     96.04
12:39:21 AM      11      2.02      0.00      1.01      0.00      0.00     96.97
12:39:21 AM      12      1.00      0.00      1.00      0.00      0.00     98.00
12:39:21 AM      13      6.86      0.00      1.96      0.00      0.00     91.18
12:39:21 AM      14      1.00      0.00      0.00      0.00      0.00     99.00
12:39:21 AM      15      1.02      0.00      1.02      0.00      0.00     97.96

12:39:21 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:22 AM     all      2.58      0.00      0.63      0.00      0.00     96.79
12:39:22 AM       0      1.01      0.00      0.00      0.00      0.00     98.99
12:39:22 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:39:22 AM       2      4.04      0.00      0.00      0.00      0.00     95.96
12:39:22 AM       3      1.00      0.00      0.00      0.00      0.00     99.00
12:39:22 AM       4     11.11      0.00      1.01      0.00      0.00     87.88
12:39:22 AM       5      2.02      0.00      0.00      0.00      0.00     97.98
12:39:22 AM       6      5.94      0.00      1.98      0.00      0.00     92.08
12:39:22 AM       7      1.01      0.00      0.00      0.00      0.00     98.99
12:39:22 AM       8      1.00      0.00      0.00      0.00      0.00     99.00
12:39:22 AM       9      2.00      0.00      0.00      0.00      0.00     98.00
12:39:22 AM      10      1.01      0.00      2.02      0.00      0.00     96.97
12:39:22 AM      11      3.96      0.00      0.99      0.00      0.00     95.05
12:39:22 AM      12      2.04      0.00      0.00      0.00      0.00     97.96
12:39:22 AM      13      2.04      0.00      1.02      0.00      0.00     96.94
12:39:22 AM      14      1.00      0.00      2.00      0.00      0.00     97.00
12:39:22 AM      15      2.00      0.00      1.00      0.00      0.00     97.00

12:39:22 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:23 AM     all      3.22      0.00      1.13      0.00      0.00     95.65
12:39:23 AM       0      6.00      0.00      2.00      0.00      0.00     92.00
12:39:23 AM       1      2.00      0.00      1.00      0.00      0.00     97.00
12:39:23 AM       2      4.04      0.00      1.01      0.00      0.00     94.95
12:39:23 AM       3      2.02      0.00      0.00      0.00      0.00     97.98
12:39:23 AM       4     12.00      0.00      1.00      0.00      0.00     87.00
12:39:23 AM       5      1.02      0.00      1.02      0.00      0.00     97.96
12:39:23 AM       6      3.09      0.00      0.00      0.00      0.00     96.91
12:39:23 AM       7      1.01      0.00      2.02      0.00      0.00     96.97
12:39:23 AM       8      2.02      0.00      2.02      0.00      0.00     95.96
12:39:23 AM       9      3.00      0.00      2.00      0.00      0.00     95.00
12:39:23 AM      10      2.00      0.00      0.00      0.00      0.00     98.00
12:39:23 AM      11      2.04      0.00      2.04      0.00      0.00     95.92
12:39:23 AM      12      4.04      0.00      1.01      0.00      0.00     94.95
12:39:23 AM      13      1.01      0.00      1.01      0.00      0.00     97.98
12:39:23 AM      14      4.04      0.00      1.01      0.00      0.00     94.95
12:39:23 AM      15      2.00      0.00      1.00      0.00      0.00     97.00

12:39:23 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:24 AM     all      2.82      0.00      0.82      0.31      0.00     96.05
12:39:24 AM       0      3.00      0.00      0.00      0.00      0.00     97.00
12:39:24 AM       1      5.94      0.00      0.99      0.00      0.00     93.07
12:39:24 AM       2      1.00      0.00      0.00      0.00      0.00     99.00
12:39:24 AM       3      1.96      0.00      0.98      0.00      0.00     97.06
12:39:24 AM       4      0.00      0.00      0.00      1.02      0.00     98.98
12:39:24 AM       5      2.02      0.00      0.00      0.00      0.00     97.98
12:39:24 AM       6     11.11      0.00      0.00      0.00      0.00     88.89
12:39:24 AM       7      1.01      0.00      0.00      0.00      0.00     98.99
12:39:24 AM       8      1.00      0.00      1.00      0.00      0.00     98.00
12:39:24 AM       9      5.00      0.00      1.00      0.00      0.00     94.00
12:39:24 AM      10      1.01      0.00      3.03      0.00      0.00     95.96
12:39:24 AM      11      1.00      0.00      3.00      0.00      0.00     96.00
12:39:24 AM      12      1.00      0.00      0.00      4.00      0.00     95.00
12:39:24 AM      13      1.01      0.00      0.00      0.00      0.00     98.99
12:39:24 AM      14      6.12      0.00      2.04      0.00      0.00     91.84
12:39:24 AM      15      3.03      0.00      1.01      0.00      0.00     95.96

12:39:24 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:25 AM     all      3.02      0.00      0.82      0.63      0.00     95.53
12:39:25 AM       0      2.00      0.00      2.00      0.00      0.00     96.00
12:39:25 AM       1      5.10      0.00      1.02      0.00      0.00     93.88
12:39:25 AM       2      2.00      0.00      0.00      0.00      0.00     98.00
12:39:25 AM       3      1.00      0.00      0.00      0.00      0.00     99.00
12:39:25 AM       4      1.01      0.00      1.01      1.01      0.00     96.97
12:39:25 AM       5      1.02      0.00      1.02      0.00      0.00     97.96
12:39:25 AM       6     13.59      0.00      0.97      0.00      0.00     85.44
12:39:25 AM       7      1.02      0.00      0.00      0.00      0.00     98.98
12:39:25 AM       8      1.00      0.00      1.00      0.00      0.00     98.00
12:39:25 AM       9      1.01      0.00      0.00      0.00      0.00     98.99
12:39:25 AM      10      6.12      0.00      0.00      0.00      0.00     93.88
12:39:25 AM      11      0.00      0.00      3.06      0.00      0.00     96.94
12:39:25 AM      12      1.01      0.00      1.01      5.05      0.00     92.93
12:39:25 AM      13      3.00      0.00      0.00      0.00      0.00     97.00
12:39:25 AM      14      7.07      0.00      1.01      0.00      0.00     91.92
12:39:25 AM      15      2.00      0.00      1.00      4.00      0.00     93.00

12:39:25 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:26 AM     all      2.32      0.00      1.00      0.00      0.00     96.68
12:39:26 AM       0      2.00      0.00      0.00      0.00      0.00     98.00
12:39:26 AM       1      4.00      0.00      3.00      0.00      0.00     93.00
12:39:26 AM       2      2.06      0.00      0.00      0.00      0.00     97.94
12:39:26 AM       3      0.00      0.00      1.01      0.00      0.00     98.99
12:39:26 AM       4      3.03      0.00      0.00      0.00      0.00     96.97
12:39:26 AM       5      0.99      0.00      1.98      0.00      0.00     97.03
12:39:26 AM       6     11.88      0.00      0.00      0.00      0.00     88.12
12:39:26 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:39:26 AM       8      1.00      0.00      0.00      0.00      0.00     99.00
12:39:26 AM       9      1.00      0.00      0.00      0.00      0.00     99.00
12:39:26 AM      10      5.05      0.00      0.00      0.00      0.00     94.95
12:39:26 AM      11      1.00      0.00      4.00      0.00      0.00     95.00
12:39:26 AM      12      0.00      0.00      2.00      0.00      0.00     98.00
12:39:26 AM      13      3.92      0.00      1.96      0.00      0.00     94.12
12:39:26 AM      14      0.99      0.00      0.99      0.00      0.00     98.02
12:39:26 AM      15      0.00      0.00      1.00      0.00      0.00     99.00

12:39:26 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:27 AM     all      2.50      0.00      0.75      0.00      0.00     96.74
12:39:27 AM       0      1.00      0.00      0.00      0.00      0.00     99.00
